Country Name,Country Code,Time,Time Code,CO2 (kt),CO2 (metric tons per capita),GDP per capita (current US$),Population total,Renewable energy consumption
China,CHN,1990,YR1990,2173360,1.914542564,317.884673,1135185000,34.08361405
China,CHN,1991,YR1991,2302180,2.000538765,333.1421454,1150780000,33.25847354
China,CHN,1992,YR1992,2418180,2.07574444,366.4606923,1164970000,32.9312779
China,CHN,1993,YR1993,2645410,2.244840637,377.3898395,1178440000,31.6777918
China,CHN,1994,YR1994,2767670,2.32219225,473.4922787,1191835000,31.24948417
China,CHN,1995,YR1995,3088620,2.563478593,609.6566792,1204855000,29.47211139
China,CHN,1996,YR1996,3070510,2.521875898,709.4137551,1217550000,30.53717546
China,CHN,1997,YR1997,3134110,2.547901551,781.7441643,1230075000,30.18348168
China,CHN,1998,YR1998,3236280,2.605836859,828.5804793,1241935000,29.73990148
China,CHN,1999,YR1999,3153660,2.517419885,873.2870617,1252735000,30.50604898
China,CHN,2000,YR2000,3346530,2.650412428,959.3724836,1262645000,29.63
China,CHN,2001,YR2001,3529080,2.774761175,1053.108243,1271850000,28.36
China,CHN,2002,YR2002,3810060.059,2.975679521,1148.50829,1280400000,27
China,CHN,2003,YR2003,4415910.156,3.427437253,1288.643252,1288400000,23.86
China,CHN,2004,YR2004,5124819.824,3.954107458,1508.668098,1296075000,20.17
China,CHN,2005,YR2005,5824629.883,4.46770003,1753.417829,1303720000,17.44
China,CHN,2006,YR2006,6437470.215,4.910276132,2099.229435,1311020000,16.39
China,CHN,2007,YR2007,6993180.176,5.306366015,2693.970063,1317885000,14.88
China,CHN,2008,YR2008,7199600.098,5.435075622,3468.304602,1324655000,14.14
China,CHN,2009,YR2009,7719069.824,5.798318754,3832.236432,1331260000,13.43
China,CHN,2010,YR2010,8474919.922,6.335417691,4550.453108,1337705000,12.26
China,CHN,2011,YR2011,9282549.805,6.901344429,5614.352135,1345035000,11.34
China,CHN,2012,YR2012,9541870.117,7.046182675,6300.615118,1354190000,11.53
China,CHN,2013,YR2013,9984570.313,7.324147115,7020.338485,1363240000,11.45
China,CHN,2014,YR2014,10006669.92,7.294235506,7636.116601,1371860000,11.94
China,CHN,2015,YR2015,9861099.609,7.146449357,8016.431435,1379860000,12.18
China,CHN,2016,YR2016,9874660.156,7.115385005,8094.363367,1387790000,12.56
China,CHN,2017,YR2017,10096009.77,7.230985031,8816.986905,1396215000,13.13
China,CHN,2018,YR2018,10502929.69,7.487331894,9905.342004,1402760000,13.71
China,CHN,2019,YR2019,10707219.73,7.605936961,10143.8382,1407745000,14.45
UAE,ARE,1990,YR1990,55210,29.05558558,26682.84981,1900151,0
UAE,ARE,1991,YR1991,61560,30.65152414,25668.49332,2008383,0
UAE,ARE,1992,YR1992,59700,28.21053089,25630.08097,2116231,0.188369133
UAE,ARE,1993,YR1993,63620,28.6153276,25019.37236,2223284,0.150356177
UAE,ARE,1994,YR1994,70780,30.39041246,25463.49629,2329024,0.12014534
UAE,ARE,1995,YR1995,75170,30.8834719,27010.67819,2433988,0.112604486
UAE,ARE,1996,YR1996,78530,30.52393659,28596.50683,2572735,0.080332347
UAE,ARE,1997,YR1997,81440,29.65639872,28709.24692,2746119,0.076355659
UAE,ARE,1998,YR1998,83450,28.56771181,25905.84338,2921130,0.072469921
UAE,ARE,1999,YR1999,85680,27.66045436,27261.90657,3097563,0.071648551
UAE,ARE,2000,YR2000,84730,25.86912537,31855.5006,3275333,0.08
UAE,ARE,2001,YR2001,97200,28.13967236,29909.00943,3454198,0.06
UAE,ARE,2002,YR2002,99150.00153,27.28657551,30221.967,3633655,0.07
UAE,ARE,2003,YR2003,103819.9997,27.22474145,32607.37293,3813443,0.07
UAE,ARE,2004,YR2004,110010.0021,27.54837547,37017.73637,3993339,0.1
UAE,ARE,2005,YR2005,116459.9991,27.20396858,42190.55438,4280993,0.11
UAE,ARE,2006,YR2006,121559.9976,24.81345968,45339.58512,4898954,0.12
UAE,ARE,2007,YR2007,131830.0018,22.44822788,43918.38017,5872624,0.11
UAE,ARE,2008,YR2008,156050.0031,22.32895073,45140.76908,6988685,0.11
UAE,ARE,2009,YR2009,157020.0043,19.64556463,31722.58876,7992644,0.11
UAE,ARE,2010,YR2010,162789.9933,19.19292484,34165.91331,8481771,0.11
UAE,ARE,2011,YR2011,165600.0061,19.31149239,40893.02336,8575205,0.11
UAE,ARE,2012,YR2012,175589.9963,20.26435367,44386.78608,8664969,0.1
UAE,ARE,2013,YR2013,184470.0012,21.07783662,45729.60768,8751847,0.1
UAE,ARE,2014,YR2014,184759.9945,20.91002932,46865.9646,8835951,0.14
UAE,ARE,2015,YR2015,195240.0055,21.89550487,41525.1389,8916899,0.13
UAE,ARE,2016,YR2016,201080.0018,22.35647344,41054.53957,8994263,0.12
UAE,ARE,2017,YR2017,197039.9933,21.72844747,43063.96748,9068296,0.19
UAE,ARE,2018,YR2018,177119.9951,19.37819696,46722.26872,9140169,0.32
UAE,ARE,2019,YR2019,188860.0006,20.50228321,45376.17084,9211657,0.67
USA,USA,1990,YR1990,4844520,19.40734628,23888.60001,249623000,4.175462186
USA,USA,1991,YR1991,4807500,19.00340342,24342.2589,252981000,4.507919594
USA,USA,1992,YR1992,4879630,19.02286035,25418.99078,256514000,4.763083108
USA,USA,1993,YR1993,4995210,19.2183334,26387.29373,259919000,4.281528407
USA,USA,1994,YR1994,5066810,19.25621185,27694.85342,263126000,4.088641398
USA,USA,1995,YR1995,5117040,19.21690864,28690.8757,266278000,4.726554335
USA,USA,1996,YR1996,5273490,19.5753803,29967.71272,269394000,4.763930451
USA,USA,1997,YR1997,5543350,20.33085525,31459.13898,272657000,4.514260299
USA,USA,1998,YR1998,5590540,20.26630029,32853.67695,275854000,4.53429689
USA,USA,1999,YR1999,5609020,20.10113245,34515.39023,279040000,5.709726593
USA,USA,2000,YR2000,5775810,20.46980666,36329.95607,282162411,5.43
USA,USA,2001,YR2001,5748260,20.17153061,37133.62311,284968955,4.68
USA,USA,2002,YR2002,5593029.785,19.445549,37997.75966,287625193,4.84
USA,USA,2003,YR2003,5658990.234,19.50649945,39490.27496,290107933,5.33
USA,USA,2004,YR2004,5738290.039,19.5976305,41724.63163,292805298,5.48
USA,USA,2005,YR2005,5753490.234,19.46926248,44123.40707,295516599,5.84
USA,USA,2006,YR2006,5653080.078,18.94591375,46302.00088,298379912,6.4
USA,USA,2007,YR2007,5736319.824,19.04291352,48050.22378,301231207,6.3
USA,USA,2008,YR2008,5558379.883,18.27849449,48570.04598,304093966,6.85
USA,USA,2009,YR2009,5156430.176,16.80869862,47194.94335,306771529,7.35
USA,USA,2010,YR2010,5392109.863,17.43173849,48650.64313,309327143,7.44
USA,USA,2011,YR2011,5173600.098,16.60421817,50065.9665,311583481,8.36
USA,USA,2012,YR2012,4956060.059,15.78978264,51784.41857,313877662,8.73
USA,USA,2013,YR2013,5092100.098,16.11118443,53291.12769,316059947,9.08
USA,USA,2014,YR2014,5107209.961,16.04092103,55123.84979,318386329,9.22
USA,USA,2015,YR2015,4990709.961,15.56003496,56762.72945,320738994,9.03
USA,USA,2016,YR2016,4894500,15.1498852,57866.74493,323071755,9.46
USA,USA,2017,YR2017,4819370.117,14.82326087,59907.75426,325122128,9.92
USA,USA,2018,YR2018,4975310.059,15.22254765,62823.30944,326838199,10.12
USA,USA,2019,YR2019,4817720.215,14.67341061,65120.39466,328329953,10.42
UK,GBR,1990,YR1990,561770,9.812990193,19095.467,57247586,0.651133978
UK,GBR,1991,YR1991,570680,9.93784978,19900.72665,57424897,0.608264131
UK,GBR,1992,YR1992,557890,9.688886854,20487.17079,57580402,0.840737796
UK,GBR,1993,YR1993,541380,9.379643108,18389.01957,57718614,0.775204971
UK,GBR,1994,YR1994,535180,9.248649611,19709.2381,57865745,1.021428484
UK,GBR,1995,YR1995,526810,9.079951871,23202.46158,58019030,1.060229099
UK,GBR,1996,YR1996,545480,9.377833976,24440.32814,58166950,0.943586897
UK,GBR,1997,YR1997,524190,8.988638193,26781.36217,58316954,1.028479689
UK,GBR,1998,YR1998,526000,8.993429855,28297.866,58487141,1.029704324
UK,GBR,1999,YR1999,522750,8.908112348,28786.95928,58682466,0.948917657
UK,GBR,2000,YR2000,530890,9.014558285,28290.9725,58892514,0.96
UK,GBR,2001,YR2001,545260,9.222987414,27886.79859,59119673,0.85
UK,GBR,2002,YR2002,530789.978,8.940301425,30079.66004,59370479,0.97
UK,GBR,2003,YR2003,543039.978,9.104141448,34479.39293,59647577,0.93
UK,GBR,2004,YR2004,543080.0171,9.053158584,40390.78583,59987905,1.14
UK,GBR,2005,YR2005,540919.9829,8.955450044,42131.6994,60401206,1.35
UK,GBR,2006,YR2006,542059.9976,8.908600278,44536.61972,60846820,1.55
UK,GBR,2007,YR2007,530500,8.650989769,50435.37029,61322463,1.84
UK,GBR,2008,YR2008,515340.0269,8.337891639,47429.93634,61806995,2.79
UK,GBR,2009,YR2009,466489.9902,7.490653988,38821.17958,62276270,3.38
UK,GBR,2010,YR2010,482440.0024,7.686282334,39693.19387,62766365,3.67
UK,GBR,2011,YR2011,445589.9963,7.043919991,42150.69814,63258810,4.44
UK,GBR,2012,YR2012,467779.9988,7.343460282,42485.58607,63700215,4.77
UK,GBR,2013,YR2013,453760.0098,7.075818333,43449.09172,64128273,6.02
UK,GBR,2014,YR2014,415600.0061,6.43320778,47447.58893,64602298,7.36
UK,GBR,2015,YR2015,401079.9866,6.159448333,45071.07432,65116219,8.61
UK,GBR,2016,YR2016,380809.9976,5.804004752,41146.07736,65611593,8.6
UK,GBR,2017,YR2017,367000,5.555651514,40621.33448,66058859,9.7
UK,GBR,2018,YR2018,360730.011,5.427748177,43306.3083,66460344,10.99
UK,GBR,2019,YR2019,348920.0134,5.220514488,42747.08046,66836327,12.24
India,IND,1990,YR1990,563580,0.647456601,368.7497594,870452165,58.65285835
India,IND,1991,YR1991,607230,0.683093123,303.850438,888941756,57.60479334
India,IND,1992,YR1992,626290,0.690070414,317.5591355,907574049,57.23056748
India,IND,1993,YR1993,651350,0.703134979,301.5011949,926351297,56.98336334
India,IND,1994,YR1994,685900,0.725618961,346.2273931,945261958,55.55718746
India,IND,1995,YR1995,737860,0.765193374,373.6282803,964279129,54.484117
India,IND,1996,YR1996,774070,0.787231553,399.5775035,983281218,53.7674097
India,IND,1997,YR1997,819270,0.817361273,414.8988696,1002335230,52.4880731
India,IND,1998,YR1998,836270,0.818721061,412.509511,1021434576,52.71225571
India,IND,1999,YR1999,901330,0.866246952,440.9614546,1040500054,51.7172937
India,IND,2000,YR2000,937860,0.885079459,442.0347789,1059633675,46.88
India,IND,2001,YR2001,953540,0.8837495,449.9111249,1078970907,47.11
India,IND,2002,YR2002,985450.0122,0.897239655,468.8444283,1098313039,45.75
India,IND,2003,YR2003,1011770.02,0.905455814,543.8437989,1117415123,45.63
India,IND,2004,YR2004,1085670.044,0.955472924,624.1050944,1136264583,44.92
India,IND,2005,YR2005,1136469.971,0.984264565,710.5093449,1154638713,44.16
India,IND,2006,YR2006,1215209.961,1.036537982,802.013742,1172373788,43.16
India,IND,2007,YR2007,1336739.99,1.123601911,1022.731629,1189691809,41.53
India,IND,2008,YR2008,1424380.005,1.180358765,993.5037725,1206734806,39.37
India,IND,2009,YR2009,1564880.005,1.278872708,1096.63498,1223640160,37.41
India,IND,2010,YR2010,1659979.98,1.338031401,1350.634322,1240613620,36.16
India,IND,2011,YR2011,1756739.99,1.396875309,1449.601789,1257621191,35.01
India,IND,2012,YR2012,1909439.941,1.498202508,1434.018198,1274487215,34.75
India,IND,2013,YR2013,1972430.054,1.527674907,1438.05748,1291132063,34.85
India,IND,2014,YR2014,2147110.107,1.642467654,1559.864518,1307246509,33.85
India,IND,2015,YR2015,2158020.02,1.631321083,1590.173918,1322866505,33.4
India,IND,2016,YR2016,2195250,1.639915139,1714.280355,1338636340,33.02
India,IND,2017,YR2017,2320409.912,1.713496761,1957.968841,1354195680,32.41
India,IND,2018,YR2018,2451929.932,1.791032878,1974.377788,1369003306,32.82
India,IND,2019,YR2019,2456300.049,1.775922673,2047.232704,1383112050,32.93
